work_date,agent_id,queue_id,cases_opened,cases_closed,breaches,avg_resolution_minutes
2025-03-28,9,3,3,1,0,166
2025-03-28,8,4,1,1,0,269
2025-03-29,9,1,1,1,0,181
2025-03-29,7,4,1,1,0,193
2025-03-29,2,2,1,1,0,113
2025-03-29,8,3,3,3,0,194
2025-03-30,1,2,2,1,0,114
2025-03-30,2,3,2,2,0,170
2025-03-30,3,2,0,0,0,169
2025-03-30,4,4,2,2,0,262
2025-03-31,5,4,1,0,0,154
2025-03-31,2,2,4,1,0,215
2025-03-31,4,3,1,1,0,189
2025-03-31,9,4,3,1,0,182
