case_id,case_number,created_date,closed_date,agent_id,queue_id,status_id,channel_id,risk_band_id,case_amount,risk_score,sla_due_date,sla_met_flag,escalation_flag,reopened_flag,suspicious_flag,resolution_minutes
20,FC-202500020,2025-01-21,2025-01-21,6,1,4,3,2,1371.84,64,2025-01-21,0,0,0,0,400.0
21,FC-202500021,2025-01-15,2025-01-15,9,4,4,2,4,381.73,94,2025-01-15,0,1,0,0,985.0
22,FC-202500022,2025-04-04,2025-04-04,8,4,4,1,2,209.07,42,2025-04-04,0,0,0,0,822.0
23,FC-202500023,2025-03-12,2025-03-12,5,2,4,4,1,300.15,33,2025-03-13,1,0,0,0,1350.0
24,FC-202500024,2025-04-04,2025-04-04,7,4,5,4,3,1722.13,79,2025-04-04,0,1,0,1,884.0
25,FC-202500025,2025-02-27,,10,2,2,2,1,1124.93,14,2025-02-28,0,1,0,0,
26,FC-202500026,2025-01-01,2025-01-01,8,4,4,2,1,3120.94,3,2025-01-01,0,0,0,0,909.0
27,FC-202500027,2025-01-31,2025-02-01,9,2,4,2,1,76.88,31,2025-02-01,0,1,0,0,1455.0
28,FC-202500028,2025-03-02,2025-03-02,9,1,4,3,1,226.59,30,2025-03-02,0,0,0,0,365.0
29,FC-202500029,2025-02-24,2025-02-24,5,3,4,3,2,666.67,67,2025-02-24,0,0,0,0,573.0
30,FC-202500030,2025-02-21,2025-02-21,5,1,4,2,3,399.28,73,2025-02-21,0,1,0,1,247.0
31,FC-202500031,2025-02-05,2025-02-06,6,2,4,2,2,392.43,67,2025-02-06,0,0,0,0,1960.0
32,FC-202500032,2025-01-07,2025-01-07,9,3,4,3,3,1275.77,87,2025-01-07,0,1,0,0,907.0
33,FC-202500033,2025-01-22,2025-01-23,3,2,5,1,2,504.32,55,2025-01-23,0,0,1,0,2423.0
34,FC-202500034,2025-02-19,2025-02-19,10,4,4,3,1,2792.45,29,2025-02-19,0,0,0,0,1128.0
35,FC-202500035,2025-03-26,2025-03-26,8,3,4,4,3,431.88,74,2025-03-26,1,1,0,1,379.0
36,FC-202500036,2025-01-08,,1,4,2,4,3,2556.41,71,2025-01-08,0,1,0,0,
37,FC-202500037,2025-01-08,2025-01-08,8,3,5,2,4,816.15,91,2025-01-08,1,1,1,1,476.0
38,FC-202500038,2025-02-21,2025-02-21,5,1,4,2,1,569.09,36,2025-02-21,1,0,0,0,216.0
39,FC-202500039,2025-03-16,2025-03-16,7,1,4,3,2,702.64,50,2025-03-16,0,0,0,0,313.0
40,FC-202500040,2025-02-20,2025-02-21,4,4,4,3,1,347.67,19,2025-02-20,0,0,0,0,1487.0
41,FC-202500041,2025-03-21,,6,2,2,2,4,144.47,91,2025-03-22,0,1,0,1,
42,FC-202500042,2025-04-23,2025-04-24,9,2,4,2,1,890.79,15,2025-04-24,0,1,0,0,1441.0
43,FC-202500043,2025-03-20,2025-03-20,1,3,5,3,4,683.26,100,2025-03-20,1,1,0,0,449.0
44,FC-202500044,2025-01-14,2025-01-14,6,4,4,2,4,1103.05,92,2025-01-14,1,1,0,0,658.0
45,FC-202500045,2025-02-06,2025-02-06,5,1,4,3,2,2272.28,62,2025-02-06,0,0,0,0,282.0
46,FC-202500046,2025-02-02,,10,3,1,2,4,394.79,90,2025-02-02,0,1,0,1,
47,FC-202500047,2025-04-09,,1,1,2,3,1,1377.7,16,2025-04-09,0,0,0,0,
48,FC-202500048,2025-01-15,2025-01-15,5,3,4,2,1,521.08,9,2025-01-15,0,0,0,0,571.0
49,FC-202500049,2025-01-17,2025-01-17,8,4,5,3,1,888.63,23,2025-01-17,0,0,0,0,816.0
50,FC-202500050,2025-01-27,2025-01-27,4,3,5,4,3,819.12,73,2025-01-27,1,1,0,0,372.0
51,FC-202500051,2025-04-06,2025-04-06,2,1,5,1,1,312.29,15,2025-04-06,0,0,0,0,357.0
52,FC-202500052,2025-01-04,2025-01-04,9,3,4,2,1,1420.12,21,2025-01-04,1,0,0,0,368.0
53,FC-202500053,2025-02-01,2025-02-01,10,1,4,3,1,401.45,6,2025-02-01,0,1,0,0,340.0
54,FC-202500054,2025-04-28,2025-04-28,7,3,4,4,2,589.3,49,2025-04-28,0,0,0,0,714.0
55,FC-202500055,2025-02-21,,7,1,2,1,2,996.96,67,2025-02-21,0,0,0,0,
56,FC-202500056,2025-03-28,2025-03-28,7,3,5,4,4,606.65,98,2025-03-28,0,1,1,0,689.0
57,FC-202500057,2025-03-16,,7,1,2,1,4,1026.48,94,2025-03-16,0,1,0,1,
58,FC-202500058,2025-02-25,,10,3,1,1,2,2616.14,56,2025-02-25,0,0,0,0,
59,FC-202500059,2025-02-25,2025-02-25,10,3,4,4,1,1017.85,34,2025-02-25,0,0,0,0,671.0
60,FC-202500060,2025-02-25,2025-02-25,8,3,5,1,1,995.91,21,2025-02-25,0,0,0,0,482.0
61,FC-202500061,2025-03-06,2025-03-06,7,2,4,3,2,1057.61,53,2025-03-07,1,0,0,0,654.0
62,FC-202500062,2025-03-27,2025-03-27,1,4,4,4,4,950.84,100,2025-03-27,1,1,0,0,645.0
63,FC-202500063,2025-04-17,2025-04-17,10,3,4,1,1,278.06,18,2025-04-17,0,0,0,0,753.0
64,FC-202500064,2025-02-26,2025-02-26,5,4,4,4,2,413.2,46,2025-02-26,1,0,0,0,702.0
65,FC-202500065,2025-03-26,2025-03-26,6,1,5,4,1,1933.41,32,2025-03-26,0,0,0,0,344.0
66,FC-202500066,2025-01-31,2025-01-31,1,3,5,2,3,372.09,77,2025-01-31,0,1,0,1,519.0
67,FC-202500067,2025-03-20,2025-03-20,3,3,4,4,3,364.83,72,2025-03-20,0,1,0,0,619.0
68,FC-202500068,2025-02-19,,4,1,2,1,2,1791.5,47,2025-02-19,0,0,0,0,
69,FC-202500069,2025-04-24,2025-04-24,7,1,4,2,1,821.97,27,2025-04-24,0,0,0,0,414.0
70,FC-202500070,2025-03-13,2025-03-14,7,2,5,3,1,229.12,7,2025-03-14,0,0,0,0,1926.0
71,FC-202500071,2025-03-18,2025-03-18,5,1,4,3,2,309.88,64,2025-03-18,0,0,0,0,411.0
72,FC-202500072,2025-04-17,2025-04-18,2,2,4,1,4,726.53,97,2025-04-18,0,1,0,1,2633.0
73,FC-202500073,2025-02-01,2025-02-01,9,2,4,2,3,379.13,78,2025-02-02,1,1,0,0,1347.0
74,FC-202500074,2025-01-10,2025-01-10,10,1,4,1,3,353.03,77,2025-01-10,0,1,0,0,245.0
75,FC-202500075,2025-01-30,2025-01-30,8,3,4,2,2,949.43,44,2025-01-30,0,1,0,0,646.0
76,FC-202500076,2025-02-23,2025-02-23,2,4,4,2,1,1000.1,26,2025-02-23,0,0,0,0,941.0
77,FC-202500077,2025-04-23,2025-04-24,1,2,4,3,3,856.1,82,2025-04-24,0,1,0,1,1569.0
78,FC-202500078,2025-04-25,2025-04-25,1,1,5,3,4,1781.48,96,2025-04-25,0,1,0,0,409.0
79,FC-202500079,2025-03-04,2025-03-04,1,3,4,4,1,235.12,27,2025-03-04,0,0,0,0,528.0
80,FC-202500080,2025-04-03,2025-04-04,1,2,5,3,1,1068.49,29,2025-04-04,0,0,0,0,2321.0
81,FC-202500081,2025-03-17,,1,3,1,2,2,1291.48,40,2025-03-17,0,0,0,0,
82,FC-202500082,2025-02-03,2025-02-03,4,1,4,4,2,2691.34,46,2025-02-03,0,0,0,0,422.0
83,FC-202500083,2025-04-17,,8,4,2,3,2,611.71,66,2025-04-17,0,1,0,0,
84,FC-202500084,2025-02-14,2025-02-14,7,1,5,3,1,942.49,4,2025-02-14,1,0,0,0,103.0
85,FC-202500085,2025-01-26,,10,4,2,4,3,6523.67,89,2025-01-26,0,1,0,0,
86,FC-202500086,2025-01-28,2025-01-28,9,2,4,3,2,559.43,48,2025-01-29,1,1,0,0,1096.0
87,FC-202500087,2025-01-15,2025-01-15,5,1,4,2,3,531.27,75,2025-01-15,0,1,0,1,286.0
88,FC-202500088,2025-03-28,2025-03-28,6,3,4,4,4,3308.8,96,2025-03-28,1,1,0,1,450.0
89,FC-202500089,2025-03-22,2025-03-22,10,2,5,2,1,421.02,19,2025-03-23,1,0,0,0,1184.0
90,FC-202500090,2025-04-11,2025-04-11,2,3,4,3,1,6975.31,34,2025-04-11,0,0,0,0,921.0
91,FC-202500091,2025-04-19,,8,2,2,1,2,131.29,55,2025-04-20,0,0,0,0,
92,FC-202500092,2025-04-01,2025-04-01,6,1,4,2,1,544.55,11,2025-04-01,1,0,0,0,60.0
93,FC-202500093,2025-03-10,2025-03-10,6,4,4,4,3,1279.84,84,2025-03-10,0,1,0,1,987.0
94,FC-202500094,2025-04-17,2025-04-17,9,2,4,1,4,601.35,94,2025-04-18,1,1,0,1,1172.0
95,FC-202500095,2025-02-18,2025-02-18,1,1,4,2,2,3979.49,55,2025-02-18,0,0,0,0,344.0
96,FC-202500096,2025-02-13,2025-02-14,5,2,5,3,1,1140.89,38,2025-02-14,0,0,1,0,2633.0
97,FC-202500097,2025-01-11,2025-01-11,3,1,4,2,1,206.97,26,2025-01-11,1,0,0,0,204.0
98,FC-202500098,2025-03-04,,10,2,1,2,2,656.12,40,2025-03-05,0,0,0,0,
99,FC-202500099,2025-03-16,2025-03-16,9,3,4,1,2,43.94,57,2025-03-16,1,0,0,0,238.0
100,FC-202500100,2025-03-31,2025-03-31,9,3,4,1,2,134.9,49,2025-03-31,1,1,0,0,383.0
101,FC-202500101,2025-03-10,2025-03-10,7,3,4,3,4,546.73,92,2025-03-10,0,1,0,1,519.0
102,FC-202500102,2025-04-08,2025-04-10,10,2,4,2,2,856.33,49,2025-04-09,0,0,0,0,3301.0
103,FC-202500103,2025-02-08,,4,1,1,2,1,335.84,34,2025-02-08,0,1,1,0,
104,FC-202500104,2025-05-01,,10,1,1,1,1,677.08,31,2025-05-01,0,1,0,0,
105,FC-202500105,2025-02-13,2025-02-13,2,3,4,4,1,899.79,3,2025-02-13,0,0,0,0,614.0
106,FC-202500106,2025-03-04,,2,1,1,4,1,467.02,3,2025-03-04,0,0,0,0,
107,FC-202500107,2025-02-01,2025-02-01,8,4,4,3,1,708.67,26,2025-02-01,0,0,0,0,1275.0
108,FC-202500108,2025-02-27,2025-02-27,10,1,4,1,4,524.38,94,2025-02-27,0,1,0,1,254.0
109,FC-202500109,2025-03-20,2025-03-20,6,1,4,3,4,477.98,91,2025-03-20,0,1,0,1,264.0
110,FC-202500110,2025-01-21,,9,4,2,2,1,1913.73,35,2025-01-21,0,1,0,0,
111,FC-202500111,2025-02-07,2025-02-08,2,2,4,3,1,1688.47,18,2025-02-08,0,0,0,0,1690.0
112,FC-202500112,2025-04-29,2025-04-30,4,2,4,3,1,1334.84,37,2025-04-30,0,0,0,0,1695.0
113,FC-202500113,2025-03-24,2025-03-24,6,4,4,4,1,797.27,17,2025-03-24,0,1,0,0,774.0
114,FC-202500114,2025-04-06,2025-04-07,10,2,4,4,3,444.84,79,2025-04-07,0,1,0,1,2799.0
115,FC-202500115,2025-02-04,2025-02-04,8,4,4,3,2,667.87,55,2025-02-04,0,0,0,0,1267.0
116,FC-202500116,2025-03-19,2025-03-19,10,4,4,1,1,562.77,5,2025-03-19,0,0,0,0,1154.0
117,FC-202500117,2025-01-03,2025-01-03,5,2,4,2,4,2630.5,100,2025-01-04,1,1,0,0,1433.0
118,FC-202500118,2025-03-08,2025-03-08,1,4,4,2,3,655.04,78,2025-03-08,0,1,0,0,726.0
119,FC-202500119,2025-01-12,2025-01-13,9,2,4,3,2,1087.62,53,2025-01-13,0,0,0,0,2174.0
120,FC-202500120,2025-03-30,2025-03-31,6,2,4,4,2,4541.83,61,2025-03-31,0,0,0,0,2126.0
121,FC-202500121,2025-02-10,2025-02-10,10,4,5,2,1,328.52,7,2025-02-10,1,0,0,0,633.0
122,FC-202500122,2025-03-26,2025-03-27,2,2,4,4,3,1625.56,84,2025-03-27,0,1,0,1,2367.0
123,FC-202500123,2025-03-22,2025-03-22,4,4,4,2,2,803.5,41,2025-03-22,1,0,0,0,315.0
124,FC-202500124,2025-03-31,2025-04-01,2,4,4,4,2,123.84,40,2025-03-31,0,0,0,0,1525.0
125,FC-202500125,2025-03-12,,8,3,1,1,1,386.47,26,2025-03-12,0,0,0,0,
126,FC-202500126,2025-01-16,2025-01-16,3,1,4,4,2,1411.57,44,2025-01-16,0,0,0,0,303.0
127,FC-202500127,2025-04-17,2025-04-17,7,4,5,3,2,1012.8,55,2025-04-17,1,0,0,0,423.0
128,FC-202500128,2025-03-07,2025-03-07,3,4,4,4,3,1343.72,74,2025-03-07,0,1,0,0,776.0
129,FC-202500129,2025-04-30,2025-04-30,5,2,4,4,3,220.68,78,2025-05-01,1,1,0,1,1352.0
130,FC-202500130,2025-03-26,2025-03-26,6,1,4,4,2,446.84,44,2025-03-26,0,0,0,0,300.0
131,FC-202500131,2025-02-18,2025-02-19,7,2,4,3,2,1074.72,50,2025-02-19,0,0,0,0,2301.0
132,FC-202500132,2025-04-20,2025-04-20,1,1,4,2,3,618.88,71,2025-04-20,0,1,0,0,268.0
133,FC-202500133,2025-03-26,2025-03-26,1,4,5,3,3,1086.21,74,2025-03-26,0,1,1,0,778.0
134,FC-202500134,2025-04-22,,7,2,1,2,1,1265.75,28,2025-04-23,0,0,1,0,
135,FC-202500135,2025-04-22,,4,3,2,4,3,1511.91,74,2025-04-22,0,1,0,1,
136,FC-202500136,2025-02-20,2025-02-20,4,3,5,3,2,864.96,67,2025-02-20,0,0,0,0,930.0
137,FC-202500137,2025-03-22,2025-03-22,6,1,5,4,3,887.06,85,2025-03-22,0,1,1,1,312.0
138,FC-202500138,2025-04-28,2025-04-28,7,1,4,3,1,6299.25,14,2025-04-28,0,0,0,0,352.0
139,FC-202500139,2025-04-22,2025-04-22,8,2,5,2,1,5641.27,10,2025-04-23,1,0,1,0,1378.0
140,FC-202500140,2025-02-07,,9,4,2,3,2,735.21,53,2025-02-07,0,0,0,0,
141,FC-202500141,2025-01-22,2025-01-22,6,1,5,1,1,381.55,39,2025-01-22,1,0,0,0,217.0
142,FC-202500142,2025-01-19,2025-01-19,9,1,4,2,1,2057.69,16,2025-01-19,1,0,0,0,60.0
143,FC-202500143,2025-02-06,,4,1,1,3,3,1104.98,75,2025-02-06,0,1,0,0,
144,FC-202500144,2025-02-24,2025-02-25,2,2,4,3,3,1358.6,84,2025-02-25,0,1,0,1,1707.0
145,FC-202500145,2025-01-31,2025-01-31,1,3,5,3,2,247.59,51,2025-01-31,0,0,0,0,1046.0
146,FC-202500146,2025-03-26,2025-03-26,4,1,4,3,2,760.33,40,2025-03-26,0,0,0,0,319.0
147,FC-202500147,2025-03-19,2025-03-20,3,4,4,4,3,173.85,79,2025-03-19,0,1,0,0,1473.0
148,FC-202500148,2025-01-25,2025-01-25,10,1,4,3,2,1041.14,61,2025-01-25,0,0,0,0,292.0
149,FC-202500149,2025-01-13,,10,3,1,1,4,193.45,100,2025-01-13,0,1,0,1,
150,FC-202500150,2025-01-17,2025-01-17,5,4,4,2,1,1026.03,18,2025-01-17,0,0,0,0,1228.0
151,FC-202500151,2025-04-23,2025-04-23,5,4,5,2,4,816.25,98,2025-04-23,0,1,0,1,1014.0
152,FC-202500152,2025-05-01,2025-05-01,5,4,4,2,2,612.95,65,2025-05-01,1,0,0,0,184.0
153,FC-202500153,2025-01-10,2025-01-11,4,2,5,1,1,905.3,14,2025-01-11,0,0,0,0,1563.0
154,FC-202500154,2025-04-13,2025-04-13,9,1,4,4,2,2109.91,42,2025-04-13,0,1,0,0,374.0
155,FC-202500155,2025-03-28,2025-03-28,10,3,4,2,3,1095.63,78,2025-03-28,1,1,0,0,435.0
156,FC-202500156,2025-01-30,2025-02-01,6,2,4,2,2,900.88,59,2025-01-31,0,0,0,0,2894.0
157,FC-202500157,2025-01-09,2025-01-10,9,4,4,4,2,5190.96,54,2025-01-09,0,0,0,0,1514.0
158,FC-202500158,2025-01-05,,1,4,1,1,2,324.3,55,2025-01-05,0,0,0,0,
159,FC-202500159,2025-02-17,2025-02-18,3,2,4,4,3,1452.2,87,2025-02-18,0,1,0,1,2610.0
160,FC-202500160,2025-01-13,2025-01-13,1,4,4,3,3,549.89,89,2025-01-13,1,1,0,1,427.0
161,FC-202500161,2025-02-26,2025-02-26,3,4,4,3,2,2106.08,47,2025-02-26,1,1,0,0,314.0
162,FC-202500162,2025-03-24,2025-03-24,3,1,4,2,2,1803.45,52,2025-03-24,1,0,0,0,231.0
163,FC-202500163,2025-01-12,2025-01-12,5,1,5,4,3,3140.45,89,2025-01-12,0,1,1,1,259.0
164,FC-202500164,2025-04-11,2025-04-11,1,4,4,4,2,1965.29,42,2025-04-11,0,0,0,0,1202.0
165,FC-202500165,2025-01-30,2025-01-31,7,2,5,4,2,175.38,44,2025-01-31,0,0,0,0,1575.0
166,FC-202500166,2025-01-17,,4,1,1,3,2,807.89,65,2025-01-17,0,0,1,0,
167,FC-202500167,2025-04-12,2025-04-12,7,1,4,4,3,251.13,88,2025-04-12,0,1,0,1,240.0
168,FC-202500168,2025-03-09,2025-03-09,4,1,4,3,1,301.53,4,2025-03-09,0,0,0,0,283.0
169,FC-202500169,2025-03-06,,4,1,2,1,1,767.85,39,2025-03-06,0,0,0,0,
170,FC-202500170,2025-02-28,,5,2,2,4,2,543.48,40,2025-03-01,0,0,0,0,
171,FC-202500171,2025-03-04,,3,4,1,3,3,504.1,84,2025-03-04,0,1,0,0,
172,FC-202500172,2025-02-05,2025-02-05,8,4,4,2,2,223.48,58,2025-02-05,1,0,0,0,691.0
173,FC-202500173,2025-02-28,,3,3,2,4,2,4761.19,53,2025-02-28,0,0,0,0,
174,FC-202500174,2025-04-09,2025-04-09,5,3,4,2,2,1290.95,67,2025-04-09,0,0,0,0,573.0
175,FC-202500175,2025-02-28,,7,2,1,2,2,734.29,63,2025-03-01,0,0,0,0,
176,FC-202500176,2025-01-20,,1,4,1,2,3,418.73,85,2025-01-20,0,1,0,1,
177,FC-202500177,2025-04-05,2025-04-05,4,4,4,3,2,634.26,44,2025-04-05,1,0,0,0,324.0
178,FC-202500178,2025-01-16,2025-01-16,7,1,4,3,2,462.26,67,2025-01-16,1,0,0,0,145.0
179,FC-202500179,2025-02-06,,9,4,1,4,2,1364.99,51,2025-02-06,0,0,0,0,
180,FC-202500180,2025-04-19,2025-04-19,8,1,4,2,1,338.65,35,2025-04-19,0,0,0,0,271.0
